,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,mean,sigma
59,NmfL1Estimator,50,{},4,2,0.30897284338254116,0.08287292817679558,0.07403560227013016,0.0,20.0
60,ModifiedNMF,50,{},5,0,0.13495539364702208,0.2343462246777164,0.287740255013724,0.0,25.0
61,NmfL2Estimator,50,{},5,0,0.14922978271607315,0.1731123388581952,0.23673333948054182,0.0,25.0
62,NmfHyperEstimator,50,{},5,0,0.165838123947008,0.10220994475138122,0.10335630458765374,0.0,25.0
63,NmfL1Estimator,50,{},5,0,0.2790258862049257,0.08287292817679558,0.08084692170435975,0.0,25.0
64,ModifiedNMF,50,{},5,1,0.13484638832409135,0.21685082872928177,0.29344676896888044,0.0,25.0
65,NmfL2Estimator,50,{},5,1,0.149178497842956,0.17725598526703498,0.23256548922639186,0.0,25.0
66,NmfHyperEstimator,50,{},5,1,0.16822027899434688,0.09622467771639043,0.09853636942452966,0.0,25.0
67,NmfL1Estimator,50,{},5,1,0.278642444848013,0.08103130755064457,0.06765822129824148,0.0,25.0
68,ModifiedNMF,50,{},5,2,0.1349878083327665,0.23480662983425415,0.3103654780717848,0.0,25.0
69,NmfL2Estimator,50,{},5,2,0.14915802888879118,0.19613259668508287,0.2502982313684465,0.0,25.0
70,NmfHyperEstimator,50,{},5,2,0.15876079579557933,0.12845303867403315,0.1600624321458317,0.0,25.0
71,NmfL1Estimator,50,{},5,2,0.27905453227931143,0.08149171270718232,0.08068299694036764,0.0,25.0
72,ModifiedNMF,50,{},6,0,0.14590969280909885,0.21869244935543278,0.2708943322880782,0.0,30.0
73,NmfL2Estimator,50,{},6,0,0.15915078897160384,0.1643646408839779,0.21724219429280756,0.0,30.0
74,NmfHyperEstimator,50,{},6,0,0.1731835099699192,0.10128913443830571,0.11828276745551612,0.0,30.0
75,NmfL1Estimator,50,{},6,0,0.2720492703054679,0.08287292817679558,0.08312681582470693,0.0,30.0
76,ModifiedNMF,50,{},6,1,0.14583071233105147,0.21823204419889503,0.2975100044187089,0.0,30.0
77,NmfL2Estimator,50,{},6,1,0.15939853061489515,0.15377532228360957,0.2144656638309139,0.0,30.0
78,NmfHyperEstimator,50,{},6,1,0.17406732298352795,0.09944751381215469,0.11129006432696864,0.0,30.0
79,NmfL1Estimator,50,{},6,1,0.2718552360089759,0.08241252302025782,0.07153653662118527,0.0,30.0
80,ModifiedNMF,50,{},6,2,0.14589510279420578,0.22605893186003684,0.2983992888421896,0.0,30.0
81,NmfL2Estimator,50,{},6,2,0.15877479312855844,0.16666666666666666,0.24943863991469822,0.0,30.0
82,NmfHyperEstimator,50,{},6,2,0.17180951919519022,0.1003683241252302,0.10888636957769458,0.0,30.0
83,NmfL1Estimator,50,{},6,2,0.2716371973410365,0.07688766114180479,0.06689583879997346,0.0,30.0
84,ModifiedNMF,50,{},7,0,0.15156827622601018,0.20534069981583794,0.2638586430702286,0.0,35.0
85,NmfL2Estimator,50,{},7,0,0.16457736549249202,0.16666666666666666,0.20808659903193677,0.0,35.0
86,NmfHyperEstimator,50,{},7,0,0.17600947784340126,0.0856353591160221,0.08210749213223717,0.0,35.0
87,NmfL1Estimator,50,{},7,0,0.26021324104042093,0.08195211786372007,0.07543441683745725,0.0,35.0
88,ModifiedNMF,50,{},7,1,0.15145144501593177,0.20902394106813996,0.2792048525518263,0.0,35.0
89,NmfL2Estimator,50,{},7,1,0.1641187815704484,0.16022099447513813,0.1973844069363574,0.0,35.0
90,NmfHyperEstimator,50,{},7,1,0.17923271326668533,0.07780847145488029,0.07255934656381559,0.0,35.0
91,NmfL1Estimator,50,{},7,1,0.2601009038242149,0.08517495395948435,0.0799828225184946,0.0,35.0
92,ModifiedNMF,50,{},7,2,0.15153630114909697,0.19843462246777163,0.24020335802586726,0.0,35.0
93,NmfL2Estimator,50,{},7,2,0.16390330867282524,0.15976058931860038,0.20013925719685968,0.0,35.0
94,NmfHyperEstimator,50,{},7,2,0.17584602685276715,0.08609576427255985,0.08474886579193217,0.0,35.0
95,NmfL1Estimator,50,{},7,2,0.260353332408692,0.07918968692449356,0.06541104539867203,0.0,35.0
96,ModifiedNMF,50,{},8,0,0.15709388263201204,0.20718232044198895,0.28201784544837094,0.0,40.0
97,NmfL2Estimator,50,{},8,0,0.1686341598991329,0.143646408839779,0.20101218947987518,0.0,40.0
98,NmfHyperEstimator,50,{},8,0,0.17933473621200663,0.0856353591160221,0.08933307592249959,0.0,40.0
99,NmfL1Estimator,50,{},8,0,0.2518409656391174,0.07826887661141804,0.07213336172382222,0.0,40.0
100,ModifiedNMF,50,{},8,1,0.1570138056173743,0.21224677716390425,0.26294279633925716,0.0,40.0
101,NmfL2Estimator,50,{},8,1,0.16880015904092843,0.141804788213628,0.20316101073782203,0.0,40.0
102,NmfHyperEstimator,50,{},8,1,0.17967043850004216,0.0865561694290976,0.09504907748377774,0.0,40.0
103,NmfL1Estimator,50,{},8,1,0.25197211128656444,0.0856353591160221,0.07558514497361536,0.0,40.0
104,ModifiedNMF,50,{},8,2,0.15711786494701693,0.19613259668508287,0.2563337400005627,0.0,40.0
105,NmfL2Estimator,50,{},8,2,0.16916957050458764,0.13535911602209943,0.18053693307755903,0.0,40.0
106,NmfHyperEstimator,50,{},8,2,0.17538988849364112,0.09898710865561694,0.1045997326123612,0.0,40.0
107,NmfL1Estimator,50,{},8,2,0.2522476758154892,0.08149171270718232,0.07798231198652829,0.0,40.0
108,ModifiedNMF,50,{},9,0,0.15369246311372653,0.21132596685082872,0.2575249455124396,0.0,45.0
109,NmfL2Estimator,50,{},9,0,0.1650667734092039,0.12845303867403315,0.15227713712206897,0.0,45.0
110,NmfHyperEstimator,50,{},9,0,0.17518244204308603,0.07965009208103131,0.06153857628582331,0.0,45.0
111,NmfL1Estimator,50,{},9,0,0.23398491505972183,0.08333333333333333,0.08020062751314877,0.0,45.0
112,ModifiedNMF,50,{},9,1,0.153612854734562,0.20211786372007368,0.25487784870081426,0.0,45.0
113,NmfL2Estimator,50,{},9,1,0.16498406295657636,0.13075506445672191,0.16687757777886233,0.0,45.0
114,NmfHyperEstimator,50,{},9,1,0.17494432221843406,0.0847145488029466,0.07029282025243812,0.0,45.0
115,NmfL1Estimator,50,{},9,1,0.23414304843257755,0.08425414364640885,0.08533876985685655,0.0,45.0
116,ModifiedNMF,50,{},9,2,0.1536435497124036,0.21132596685082872,0.2789291755441369,0.0,45.0
117,NmfL2Estimator,50,{},9,2,0.16472728290827118,0.13720073664825047,0.17124486374255857,0.0,45.0
118,NmfHyperEstimator,50,{},9,2,0.17351064919543807,0.08011049723756906,0.0765361445821906,0.0,45.0
119,NmfL1Estimator,50,{},9,2,0.23419712519700966,0.0865561694290976,0.08337380582705162,0.0,45.0
