,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,p,r
60,ModifiedNMF,20,{},3,0,0.6219665635448861,0.1625230202578269,0.21391493571613632,0.30000000000000004,0.5
61,NmfL2Estimator,20,{},3,0,0.6243101648006715,0.16160220994475138,0.21022841180106389,0.30000000000000004,0.5
62,NmfHyperEstimator,20,{},3,0,0.622861043770737,0.13305709023941067,0.1703212581350157,0.30000000000000004,0.5
63,NmfL1Estimator,20,{},3,0,0.6675407532496108,0.0856353591160221,0.08488135118197346,0.30000000000000004,0.5
64,ModifiedNMF,20,{},3,1,0.6210984683808394,0.15009208103130756,0.21556249873184447,0.30000000000000004,0.5
65,NmfL2Estimator,20,{},3,1,0.6231169157635539,0.15561694290976058,0.20666803143455934,0.30000000000000004,0.5
66,NmfHyperEstimator,20,{},3,1,0.621738551149927,0.13766114180478822,0.19081137147255853,0.30000000000000004,0.5
67,NmfL1Estimator,20,{},3,1,0.6675078841750525,0.08701657458563536,0.08209858833506577,0.30000000000000004,0.5
68,ModifiedNMF,20,{},3,2,0.6224518479782755,0.15561694290976058,0.20488269519145716,0.30000000000000004,0.5
69,NmfL2Estimator,20,{},3,2,0.6245211116468469,0.15285451197053407,0.1995245714850123,0.30000000000000004,0.5
70,NmfHyperEstimator,20,{},3,2,0.6229811188976411,0.1358195211786372,0.18574103838982223,0.30000000000000004,0.5
71,NmfL1Estimator,20,{},3,2,0.6672440781997956,0.0856353591160221,0.08593483140117177,0.30000000000000004,0.5
72,ModifiedNMF,20,{},3,3,0.6208728490979508,0.1477900552486188,0.20044515844038696,0.30000000000000004,0.5
73,NmfL2Estimator,20,{},3,3,0.6234012453077122,0.1408839779005525,0.19391278393893,0.30000000000000004,0.5
74,NmfHyperEstimator,20,{},3,3,0.6219041042105605,0.1252302025782689,0.16530021134786904,0.30000000000000004,0.5
75,NmfL1Estimator,20,{},3,3,0.6652438712301288,0.09392265193370165,0.10033089612999263,0.30000000000000004,0.5
76,ModifiedNMF,20,{},3,4,0.6211935987297507,0.14594843462246776,0.19763444382048911,0.30000000000000004,0.5
77,NmfL2Estimator,20,{},3,4,0.623335224217156,0.16022099447513813,0.20072548788205674,0.30000000000000004,0.5
78,NmfHyperEstimator,20,{},3,4,0.6220217873903997,0.12845303867403315,0.15290707884497706,0.30000000000000004,0.5
79,NmfL1Estimator,20,{},3,4,0.6662519652824362,0.0865561694290976,0.09114676280958066,0.30000000000000004,0.5
80,ModifiedNMF,20,{},4,0,0.6566468788035407,0.1445672191528545,0.1915835568358643,0.4,0.5
81,NmfL2Estimator,20,{},4,0,0.6586217483530434,0.1358195211786372,0.1787194333765567,0.4,0.5
82,NmfHyperEstimator,20,{},4,0,0.6560390492931432,0.13720073664825047,0.19236187545622946,0.4,0.5
83,NmfL1Estimator,20,{},4,0,0.7056585576410199,0.08977900552486189,0.09450737597658425,0.4,0.5
84,ModifiedNMF,20,{},4,1,0.6559491269299199,0.15837937384898712,0.20427317696536298,0.4,0.5
85,NmfL2Estimator,20,{},4,1,0.6578909206460393,0.13720073664825047,0.18424197159081618,0.4,0.5
86,NmfHyperEstimator,20,{},4,1,0.6552875429210302,0.13766114180478822,0.18676362601827062,0.4,0.5
87,NmfL1Estimator,20,{},4,1,0.703666856174134,0.0856353591160221,0.08798973975924132,0.4,0.5
88,ModifiedNMF,20,{},4,2,0.6569628821375384,0.13443830570902393,0.19534026174572847,0.4,0.5
89,NmfL2Estimator,20,{},4,2,0.6589329132301882,0.13305709023941067,0.18479929692959166,0.4,0.5
90,NmfHyperEstimator,20,{},4,2,0.6563941291786118,0.1358195211786372,0.18245173046022783,0.4,0.5
91,NmfL1Estimator,20,{},4,2,0.7060717421639705,0.08241252302025782,0.08715358821647932,0.4,0.5
92,ModifiedNMF,20,{},4,3,0.6557006145375625,0.15377532228360957,0.2001454361267528,0.4,0.5
93,NmfL2Estimator,20,{},4,3,0.65779930747842,0.1496316758747698,0.18617652904717127,0.4,0.5
94,NmfHyperEstimator,20,{},4,3,0.6551977351984759,0.13904235727440148,0.17813208215821313,0.4,0.5
95,NmfL1Estimator,20,{},4,3,0.7049859592604804,0.09300184162062615,0.10020607546293313,0.4,0.5
96,ModifiedNMF,20,{},4,4,0.6559711573216109,0.14732965009208104,0.1856420789593655,0.4,0.5
97,NmfL2Estimator,20,{},4,4,0.6579855701424994,0.13535911602209943,0.16449116468251873,0.4,0.5
98,NmfHyperEstimator,20,{},4,4,0.655584932960294,0.14042357274401474,0.17876827035635215,0.4,0.5
99,NmfL1Estimator,20,{},4,4,0.7039450243186695,0.08747697974217311,0.09038291520835745,0.4,0.5
100,ModifiedNMF,20,{},5,0,0.6810561633309152,0.13674033149171272,0.1753912188736426,0.5,0.5
101,NmfL2Estimator,20,{},5,0,0.6830427864262326,0.11740331491712708,0.12625608881160424,0.5,0.5
102,NmfHyperEstimator,20,{},5,0,0.6806795272186794,0.11740331491712708,0.13168950457331352,0.5,0.5
103,NmfL1Estimator,20,{},5,0,0.7338515529808767,0.08701657458563536,0.09598341350244818,0.5,0.5
104,ModifiedNMF,20,{},5,1,0.6803785685232961,0.1468692449355433,0.18411845792701714,0.5,0.5
105,NmfL2Estimator,20,{},5,1,0.682170879315477,0.1210865561694291,0.13560252895987024,0.5,0.5
106,NmfHyperEstimator,20,{},5,1,0.6800087369014826,0.11924493554327809,0.14040994825858302,0.5,0.5
107,NmfL1Estimator,20,{},5,1,0.7324852525564332,0.09069981583793739,0.09353494822682891,0.5,0.5
108,ModifiedNMF,20,{},5,2,0.6814315719536824,0.1298342541436464,0.18285570171184648,0.5,0.5
109,NmfL2Estimator,20,{},5,2,0.6835265803150028,0.11786372007366483,0.1409382610672105,0.5,0.5
110,NmfHyperEstimator,20,{},5,2,0.6810462963051616,0.1279926335174954,0.15988834758784803,0.5,0.5
111,NmfL1Estimator,20,{},5,2,0.7332776860368239,0.08701657458563536,0.08279414607284787,0.5,0.5
112,ModifiedNMF,20,{},5,3,0.6803937126479375,0.1487108655616943,0.1957387198548155,0.5,0.5
113,NmfL2Estimator,20,{},5,3,0.6822791453998099,0.12937384898710866,0.140252352793944,0.5,0.5
114,NmfHyperEstimator,20,{},5,3,0.6800342698724275,0.11832412523020258,0.14171186671420183,0.5,0.5
115,NmfL1Estimator,20,{},5,3,0.7332018720093965,0.08609576427255985,0.09574906437052011,0.5,0.5
116,ModifiedNMF,20,{},5,4,0.6804828454795333,0.13996316758747698,0.18334209276118216,0.5,0.5
117,NmfL2Estimator,20,{},5,4,0.6824345144005911,0.12154696132596685,0.1510076101918451,0.5,0.5
118,NmfHyperEstimator,20,{},5,4,0.6802448147629617,0.12062615101289134,0.15672169674228983,0.5,0.5
119,NmfL1Estimator,20,{},5,4,0.7331303173982391,0.09116022099447514,0.09442577317261493,0.5,0.5
120,ModifiedNMF,20,{},6,0,0.6998517351297157,0.13167587476979742,0.14644882666029607,0.6000000000000001,0.5
121,NmfL2Estimator,20,{},6,0,0.7017168289136174,0.10220994475138122,0.11445180934410873,0.6000000000000001,0.5
122,NmfHyperEstimator,20,{},6,0,0.6997422675178582,0.10359116022099447,0.12170382990644997,0.6000000000000001,0.5
123,NmfL1Estimator,20,{},6,0,0.7578579791317906,0.08701657458563536,0.09218679592597294,0.6000000000000001,0.5
124,ModifiedNMF,20,{},6,1,0.6992889933576708,0.1289134438305709,0.14890084927772748,0.6000000000000001,0.5
125,NmfL2Estimator,20,{},6,1,0.7012003359317014,0.10267034990791897,0.11368872555070669,0.6000000000000001,0.5
126,NmfHyperEstimator,20,{},6,1,0.6989975777610254,0.11095764272559852,0.11135948835238413,0.6000000000000001,0.5
127,NmfL1Estimator,20,{},6,1,0.7568460221625531,0.0925414364640884,0.08101657603664184,0.6000000000000001,0.5
128,ModifiedNMF,20,{},6,2,0.7002365949477783,0.1220073664825046,0.13734451022965863,0.6000000000000001,0.5
129,NmfL2Estimator,20,{},6,2,0.7020619921068256,0.10589318600368323,0.10980999433024283,0.6000000000000001,0.5
130,NmfHyperEstimator,20,{},6,2,0.6998993760002673,0.106353591160221,0.1167653737910548,0.6000000000000001,0.5
131,NmfL1Estimator,20,{},6,2,0.7578586096401758,0.08149171270718232,0.08134942189614451,0.6000000000000001,0.5
132,ModifiedNMF,20,{},6,3,0.6992425188311496,0.12569060773480664,0.12771084178399258,0.6000000000000001,0.5
133,NmfL2Estimator,20,{},6,3,0.7009619508659677,0.10819521178637201,0.11587910947129203,0.6000000000000001,0.5
134,NmfHyperEstimator,20,{},6,3,0.6990496427010363,0.11556169429097606,0.12311241033807059,0.6000000000000001,0.5
135,NmfL1Estimator,20,{},6,3,0.7560555463125669,0.09530386740331492,0.09773792338133827,0.6000000000000001,0.5
136,ModifiedNMF,20,{},6,4,0.6994173614046465,0.12338858195211787,0.14297865134895626,0.6000000000000001,0.5
137,NmfL2Estimator,20,{},6,4,0.7012498847081811,0.10174953959484347,0.1065537256875912,0.6000000000000001,0.5
138,NmfHyperEstimator,20,{},6,4,0.6990961886554792,0.1132596685082873,0.1316010557612022,0.6000000000000001,0.5
139,NmfL1Estimator,20,{},6,4,0.7559272738074607,0.09023941068139964,0.09397784028172274,0.6000000000000001,0.5
